Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-04-28,THE STEEL CIRCLE: A Samurai Chronology,,https://boxd.it/U9hmm,"<b>THE STEEL CIRCLE: A Samurai Chronology</b>
From the birth of the Shogun to the death of the sword. This list tracks the evolution of the warrior class through nearly 1,000 years of Japanese history.

<b>I. THE ANCIENT ROOTS</b>
Before the samurai were rulers, they were the elite blade for the Imperial Court.
Rashomon (1950) | Setting: c. 700s–1100s (Heian Period) | Civil decay and the instability of truth in an ancient, crumbling world.
The Men Who Tread on the Tiger's Tail (1945) | Setting: 1185 (Genpei War) | The legendary conflict that birthed the very first Shogunate and established the warrior class.
<b>II. THE AGE OF CHAOS</b>
The ""Warring States"" era where the land was soaked in blood and the gods were fading.
Onibaba (1964) | Setting: 1330s (Nanboku-chō Period) | A harrowing look at survival and horror for the common folk during the War of Two Courts.
Princess Mononoke (1997) | Setting: c. 1450 (Muromachi Period) | The transition from a mystical age of spirits to an industrial age defined by iron and gunpowder.
Throne of Blood (1957) | Setting: 15th Century (Early Sengoku) | A Shakespearean descent into madness and ambition in a lawless, fog-shrouded land.
Ran (1985) | Setting: 16th Century (Mid-Sengoku) | A grand, color-coded epic depicting the tragic decline of a powerful warlord and his divided house.
Seven Samurai (1954) | Setting: 1587 (Late Sengoku) | The peak of civil war. Masterless ronin and desperate peasants find common ground in the mud.
Ugetsu (1953) | Setting: Late 1500s | An ethereal, ghostly masterpiece showing the supernatural and tragic cost of war on the civilian family.
<b>III. THE TOKUGAWA ASCENT</b>
Unification, isolation, and the establishment of a 250-year peace.
Shōgun (2024) | Setting: 1600 (Battle of Sekigahara) | The pivotal chess match for the soul of Japan and the rise of the Tokugawa dynasty.
The Samurai Trilogy (1954–1956) | Setting: 1600–1612 | Following Musashi Miyamoto as he transitions from a raw soldier at Sekigahara to a spiritual master of the blade.
Harakiri (1962) | Setting: 1630 (Early Edo Period) | The wars have ended, leaving thousands of samurai unemployed and disillusioned by the hypocrisy of the ruling class.
Silence (2016) | Setting: 1637 (Shimabara Rebellion) | The violent end of Western influence and the total isolation of the island nation.
Blue Eye Samurai (2023) | Setting: c. 1650s | A gritty tale of vengeance taking place during the height of Japan’s ""closed door"" policy.
Lone Wolf and Cub: Sword of Vengeance (1972) | Setting: ~1650s | The dark underbelly of the Shogun's power and the corruption of the secret police.
<b>IV. THE GOLDEN AGE & STAGNATION</b>
Samurai as bureaucrats, poets, and secret executioners.
47 Ronin / Chushingura (1962) | Setting: 1701–1703 (Genroku Era) | The ultimate test of feudal loyalty in an era where samurai had become peaceful bureaucrats.
Zatoichi (2003) | Setting: 1830s–1840s | The blind ""anti-samurai"" hero protecting the weak from the gambling dens and yakuza of a stagnant era.
13 Assassins (2010) | Setting: 1844 (Late Edo Period) | A final, ritualized suicide mission to stop a sadistic Lord before the Shogunate system collapses.
<b>V. THE END OF THE WAY</b>
The arrival of the West, the Fall of the Shogun, and the birth of Modern Japan.
The Twilight Samurai (2002) | Setting: Early 1860s (Bakumatsu) | The heartbreaking reality of the ""working class"" samurai—poor, hungry, and facing an obsolete future.
Yojimbo (1961) | Setting: 1860 | A nameless ronin navigates a world where traditional honor is being choked out by greed and the arrival of the revolver.
Rurouni Kenshin: The Beginning (2021) | Setting: 1864 | The bloody revolution in the streets of Kyoto as the ""hitokiri"" assassins clash with the Shogunate’s secret police.
Lady Snowblood (1973) | Setting: 1874 (Early Meiji) | A stylish revenge masterpiece set during the cold transition to a Westernized legal system.
The Last Samurai (2003) | Setting: 1876–1877 (Satsuma Rebellion) | The final, tragic stand of the traditionalist ""Old Guard"" against modern Gatling guns and progress.
Rurouni Kenshin (2012) | Setting: 1878 (Meiji Era) | The aftermath. Carrying a sword is a crime, and survivors must find a new way to live in a world that no longer needs warriors."

Position,Name,Year,URL,Description
1,Rashomon,1950,https://boxd.it/2a9K,
2,The Men Who Tread on the Tiger's Tail,1945,https://boxd.it/19vo,
3,Onibaba,1964,https://boxd.it/252a,
4,Princess Mononoke,1997,https://boxd.it/2b4w,
5,Throne of Blood,1957,https://boxd.it/251w,
6,Ran,1985,https://boxd.it/1Tlu,
7,Seven Samurai,1954,https://boxd.it/2axi,
8,Ugetsu,1953,https://boxd.it/1NyM,
9,Shōgun,2024,https://boxd.it/LciY,
10,Samurai I: Musashi Miyamoto,1954,https://boxd.it/1jfg,
11,Samurai II: Duel at Ichijoji Temple,1955,https://boxd.it/1jf6,
12,Samurai III: Duel at Ganryu Island,1956,https://boxd.it/1jeM,
13,Harakiri,1962,https://boxd.it/1NTU,
14,Silence,2016,https://boxd.it/2cAo,
15,BLUE EYE SAMURAI,2023,https://boxd.it/JH9k,
16,Lone Wolf and Cub: Sword of Vengeance,1972,https://boxd.it/Zia,
17,Chûshingura,1962,https://boxd.it/RoY,
18,Zatoichi,2003,https://boxd.it/2aMs,
19,13 Assassins,2010,https://boxd.it/jqc,
20,The Twilight Samurai,2002,https://boxd.it/1RRI,
21,Yojimbo,1961,https://boxd.it/1SRY,
22,Rurouni Kenshin: The Beginning,2021,https://boxd.it/p30s,
23,Lady Snowblood,1973,https://boxd.it/26Fi,
24,The Last Samurai,2003,https://boxd.it/29ZA,
25,Rurouni Kenshin Part I: Origins,2012,https://boxd.it/4aIO,
